Species,Owner,Date,Location,General Weather,Time of Capture,Latitude N,Longitude W,Water Temp,Capture Method,Fork length(cm),Total Length(cm),Girth,Weight,Sex,Sexually mature?,Gonad taken?,Eggs Present?,Pectoral Fin Ray,Label on Envelope (ASO10-0/Tag ID),Genetic sample,Label on Microtube (ASO10-0/Tag ID),Blood sample taken?,Label on microtube (ASO10-0/Tag ID),Tag Type,Tag ID#,Tag Sn#,Tag Weight,DFG Peterson Tag Info (Disc Tag),Fish ID,Pit Tag ID,Suture Size,Blade,# stitches,incision length (cm),boat operator,boat name,recorder/surgeon,surgery start time,surgery stop time ,total time,total handling time,fish condition upon capture,fish condition upon release,comments
WST,E. MILLER USACE,9/27/10,grizzly bay,sunny,11:43,38.06249,-122.03263,20,DFG Trammel Net,115,130,,,U,U,N,N/A,N,,y,ASO10-34,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47821,1093198,,ST12914,ASO10-34,,1,10,3,3,GW,Striper II,GS/MP,11:47,11:51,4,8,GOOD,GOOD,"SPLIT DORSAL, SWAM OFF"
WST,E. MILLER USACE,9/27/10,grizzly bay,sunny,11:52,38.06249,-122.03263,20,DFG Trammel Net,102,116,,,U,U,N,N/A,N,,Y (anal),ASO10-35,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47822,1093199,,FF1914,ASO10-35,,1,10,3,3,GW,Striper II,GS/MP,11:54,11:59,5,7,FAIR,"fair, swam off","LITTLE BIT OF BLEEDING, FISH LOOKS STRESSED VERY RED"
WST,E. MILLER USACE,9/27/10,grizzly bay,sunny,13:21,38.06727,-122.03101,21,DFG Trammel Net,161,180,,,U,U,N,N/A,N,,Y (anal),ASO10-36,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47823,1093200,,HH1914,ASO10-36,,1,10,3,3,GW,Striper II,MP/GS,13:25,13:30,5,11,"BLOODY CAUDAL, SPLIT 2X","GOOD, REDDENED CAUDAL, DORSAL; SWAM OFF",
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,8:22,38.06193,-122.0316,20,DFG Trammel Net,126,142,,,F,Y,Y,Y,N,,Y (anal),ASO10-37,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47824,1093201,,ST12915,ASO10-37,,1,10,3,3,GW,Striper II,EM/GS,8:25,8:29,4,7,"GOOD, SPLIT CAUDAL",GOOD,
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,8:24,38.06193,-122.0316,20,DFG Trammel Net,128,147,,,U,U,N,N/A,N,,Y (anal),ASO10-38,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47825,1093202,,FF1915,ASO10-38,,1,10,3,3,GW,Striper II,EM/GS,8:31,8:35,4,11,GOOD,GOOD,ENGORGED
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,9:06,38.06025,-122.03352,21,DFG Trammel Net,118,131,,,U,U,N,N/A,N,,Y (anal),ASO10-39,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47826,1093203,,HH1915,ASO10-39,,1,10,3,3,GW,Striper II,EM/GS,9:10,9:12,2,6,"FAIR - SPLIT CAUDAL AND DORSAL, BLOODY CAUDAL",FAIR - SOME BLEEDING FROM INCISION,
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,10:52,38.06194,-122.03225,22,DFG Trammel Net,121,139,,,U,U,N,N/A,N,,Y,ASO10-40,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47827,1093204,,ST12916,ASO10-40,,1,10,3,3,GW,Striper II,GS/EM,11:00,11:07,7,15,"FAIR, BLOODY DORSAL",FAIR,SWAM OFF
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,10:53,38.06271,-122.0308,22,DFG Trammel Net,142,159,,,U,U,N,N/A,N,,Y (anal),ASO10-41,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47828,1093205,,FF1916,ASO10-41,,1,10,3,3,GW,Striper II,EM/GS,11:10,11:14,4,21,"FAIR, SPLIT DORSAL AND CAUDAL","fair, swam off",ENGORGED
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,12:40,38.06951,-122.03212,23,DFG Trammel Net,119,125,,,U,U,N,N/A,N,,Y,ASO10-42,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47829,1093206,,HH1916,ASO10-42,,1,10,3,3,GW,Striper II,EM/GS,12:44,12:48,4,,"FAIR, TORN SCUTE",FAIR,WAS SQUEEZED BY THE NET
WST,E. MILLER USACE,9/28/10,grizzly bay,sunny,12:50,38.06951,-122.03212,23,DFG Trammel Net,132,150,,,U,U,N,N/A,N,,Y,ASO10-43,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47830,1093207,,FF1917,ASO10-43,,1,10,3,3,GW,Striper II,GS/EM,12:55,13:02,7,12,GOOD,GOOD,"SWAM OFF, SPLIT CAUDAL"
WST,E. MILLER USACE,9/29/10,grizzly bay,sunny,7:36,38.06,-122.02,20,DFG Trammel Net,162,183,,,U,U,N,N/A,N,,Y,ASO10-44,N,,V16-6L (70-90 sec); A69-1303; 3650 Days,47831,1093208,,HH1917,ASO10-44,,1,10,3,3,GW,Striper II,GS/MP,7:41,7:46,5,10,GOOD,GOOD,SWAM OFF
